Gene	Isoform	ExplogFC/FC	P
ENSG00000000003	Expression	-0.0137724047721857	0.98421
ENSG00000000003	ENST00000373020	0.998875406988793	0.97638
ENSG00000000003	ENST00000612152	1.01378728501764	0.97432
ENSG00000001084	Expression	-0.00364773129005501	0.98754
ENSG00000001084	ENST00000229416	1.00148435145259	0.94508
ENSG00000001084	ENST00000509541	1.01264365927734	0.93441
ENSG00000001084	ENST00000510837	0.977489339093551	0.93249
ENSG00000001167	Expression	0.0101108909739754	0.98677
ENSG00000001167	ENST00000341376	0.982244297877979	0.97922
ENSG00000001167	ENST00000353205	1.07202595514495	0.93289
ENSG00000001461	Expression	-0.00882699756983162	0.98692
ENSG00000001461	ENST00000003912	0.989226641957155	0.97212
ENSG00000001461	ENST00000374399	1.05307559099863	0.94473
ENSG00000001497	Expression	0.0636017609916137	0.89474
ENSG00000001497	ENST00000374807	1.08808037072943	0.89556
ENSG00000001497	ENST00000374811	0.873166147552238	0.80529
ENSG00000001497	ENST00000484069	0.874196930060662	0.77917
ENSG00000001629	Expression	-0.000136666162740699	0.98798
ENSG00000001629	ENST00000265742	1.08456925506638	0.86647
ENSG00000001629	ENST00000422095	0.881564451412047	0.79078
ENSG00000001629	ENST00000442183	0.913962244579725	0.86667
ENSG00000001630	Expression	-0.00610984648398945	0.98903
ENSG00000001630	ENST00000003100	0.994127965077567	0.98859
ENSG00000001630	ENST00000450723	1.02621083597504	0.98427
ENSG00000001631	Expression	-0.00369055235013087	0.98657
ENSG00000001631	ENST00000340022	1.0994932100324	0.85972
ENSG00000001631	ENST00000475770	0.919366506113753	0.89753
ENSG00000002330	Expression	0.00313430857518107	0.98803
ENSG00000002330	ENST00000309032	0.969204408912085	0.94913
ENSG00000002330	ENST00000544271	1.13878697635591	0.73629
ENSG00000002549	Expression	0.0159641776283191	0.98043
ENSG00000002549	ENST00000508497	0.994940516996935	0.97393
ENSG00000002549	ENST00000618908	1.00040093765101	0.97406
ENSG00000002586	Expression	0.00789849827826848	0.98779
ENSG00000002586	ENST00000381192	1.00277393208407	0.97874
ENSG00000002586	ENST00000497752	0.894980440248009	0.86224
ENSG00000002822	Expression	0.00984137856716721	0.98419
ENSG00000002822	ENST00000399654	0.962877465293126	0.91617
ENSG00000002822	ENST00000429625	1.28457002149846	0.24447
ENSG00000002834	Expression	0.00752780238601543	0.98738
ENSG00000002834	ENST00000318008	1.00774315367732	0.95074
ENSG00000002834	ENST00000419929	0.977064422291978	0.9404
ENSG00000002834	ENST00000584106	0.993991170141666	0.9423
ENSG00000003056	Expression	0.016652194604792	0.97863
ENSG00000003056	ENST00000541507	0.9865502403328	0.92958
ENSG00000003056	ENST00000543704	1.00384899786399	0.91914
ENSG00000003056	ENST00000543834	1.09707960665068	0.79989
ENSG00000003056	ENST00000544245	1.01129971666222	0.90997
ENSG00000003393	Expression	-0.00442376351308506	0.98793
ENSG00000003393	ENST00000264276	1.00216055030475	0.94989
ENSG00000003393	ENST00000467448	0.985585292538213	0.94241
ENSG00000003393	ENST00000489440	1.0183145234446	0.93157
ENSG00000003402	Expression	0.000418413656654301	0.98799
ENSG00000003402	ENST00000309955	0.963219475602182	0.94272
ENSG00000003402	ENST00000395148	1.16030323097318	0.66202
ENSG00000003756	Expression	-0.00902936812460199	0.9894
ENSG00000003756	ENST00000347869	0.961739779013928	0.93667
ENSG00000003756	ENST00000404526	1.11406162515765	0.74803
ENSG00000003756	ENST00000417905	1.02601408810737	0.87253
ENSG00000003756	ENST00000462025	1.05774356706031	0.83734
ENSG00000003756	ENST00000464988	1.03811140566651	0.8592
ENSG00000003756	ENST00000469838	1.17691698613801	0.58016
ENSG00000003756	ENST00000475128	1.10979299994449	0.74876
ENSG00000003756	ENST00000479275	1.05823063348416	0.83436
ENSG00000004399	Expression	-0.00449778783245054	0.9876
ENSG00000004399	ENST00000324093	0.999040060748128	0.96902
ENSG00000004399	ENST00000506979	1.02091061919995	0.96431
ENSG00000004455	Expression	0.0183283160484082	0.97992
ENSG00000004455	ENST00000354858	1.16805884189903	0.61502
ENSG00000004455	ENST00000373449	0.944321275075847	0.91576
ENSG00000004455	ENST00000467905	0.931723363672228	0.88312
ENSG00000004455	ENST00000469238	1.0687288832228	0.84963
ENSG00000004455	ENST00000482191	1.01286049525659	0.89834
