cohort	srp	srr	category	status	isPaired	BioSample
52	SRP251704	SRR11244251	A549	control	PAIRED	SAMN14305696
52	SRP251704	SRR11244252	A549	control	PAIRED	SAMN14305695
52	SRP251704	SRR11244253	A549	control	PAIRED	SAMN14305694
52	SRP251704	SRR11244254	Zika	case	PAIRED	SAMN14305693
52	SRP251704	SRR11244255	Zika	case	PAIRED	SAMN14305692
52	SRP251704	SRR11244256	Zika	case	PAIRED	SAMN14305691
