cohort	srp	srr	category	status	isPaired	BioSample
72	SRP279205	SRR12540046	lung	control	PAIRED	SAMN15931960
72	SRP279205	SRR12540045	lung	control	PAIRED	SAMN15931961
72	SRP279205	SRR12540049	lung	control	PAIRED	SAMN15931957
72	SRP279205	SRR12540050	lung	control	PAIRED	SAMN15931956
72	SRP279205	SRR12540059	lung	control	PAIRED	SAMN15931947
72	SRP279205	SRR12540047	lung	case	PAIRED	SAMN15931959
72	SRP279205	SRR12540052	lung	case	PAIRED	SAMN15931954
72	SRP279205	SRR12540048	lung	case	PAIRED	SAMN15931958
72	SRP279205	SRR12540051	lung	case	PAIRED	SAMN15931955
72	SRP279205	SRR12540060	lung	case	PAIRED	SAMN15931946

