cohort	srp	srr	category	status	isPaired	BioSample
58	SRP278618	SRR12507543	mock infection	control	PAIRED	SAMN15893690
58	SRP278618	SRR12507544	mock infection	control	PAIRED	SAMN15893689
58	SRP278618	SRR12507545	mock infection	control	PAIRED	SAMN15893687
58	SRP278618	SRR12507546	low MOI	case	PAIRED	SAMN15893686
58	SRP278618	SRR12507547	low MOI	case	PAIRED	SAMN15893685
58	SRP278618	SRR12507548	low MOI	case	PAIRED	SAMN15893684
