Gene	Isoform	ExplogFC/FC	P
ENSG00000000419	Expression	-0.015719606360651	0.97664
ENSG00000000419	ENST00000371582	0.859304089052518	0.73272
ENSG00000000419	ENST00000371584	0.804031701237911	0.5074
ENSG00000000419	ENST00000371588	1.02656865306353	0.96218
ENSG00000000971	Expression	0.0644546652547685	0.89627
ENSG00000000971	ENST00000367429	0.991605571472091	0.96508
ENSG00000000971	ENST00000466229	1.17666390097164	0.58764
ENSG00000000971	ENST00000630130	1.01313034339548	0.95715
ENSG00000001167	Expression	-0.00458283433788425	0.9862
ENSG00000001167	ENST00000341376	0.991674146356786	0.97777
ENSG00000001167	ENST00000353205	1.0299720915537	0.96995
ENSG00000001460	Expression	-0.00018113099453242	0.98723
ENSG00000001460	ENST00000337248	0.979120827967611	0.96669
ENSG00000001460	ENST00000468303	1.04000295511783	0.9546
ENSG00000001461	Expression	-0.432501375230113	0.44313
ENSG00000001461	ENST00000003912	1.0002764802896	0.93778
ENSG00000001461	ENST00000339255	1.00121952371586	0.94541
ENSG00000001461	ENST00000488155	0.956993159923622	0.92079
ENSG00000001497	Expression	-0.0202245689815561	0.97186
ENSG00000001497	ENST00000374807	1.01134508336864	0.98464
ENSG00000001497	ENST00000484069	0.869952424409038	0.80157
ENSG00000001630	Expression	-0.000973803320258223	0.98884
ENSG00000001630	ENST00000003100	1.00822938968948	0.99442
ENSG00000001630	ENST00000450723	0.952796893841044	0.98376
ENSG00000001631	Expression	0.000981551466646841	0.98737
ENSG00000001631	ENST00000394505	0.998414582983132	0.97553
ENSG00000001631	ENST00000486261	1.01521555574646	0.97335
ENSG00000002330	Expression	-0.00934227579892675	0.98198
ENSG00000002330	ENST00000309032	1.00730964760825	0.97724
ENSG00000002330	ENST00000394532	0.951140373310742	0.95547
ENSG00000002549	Expression	2.73627537016143	0
ENSG00000002549	ENST00000606142	1.01774339226191	0.99009
ENSG00000002549	ENST00000618908	0.907898933056955	0.92179
ENSG00000002919	Expression	-0.000141009795316291	0.98775
ENSG00000002919	ENST00000359238	0.996996671927685	0.97828
ENSG00000002919	ENST00000393405	1.02195447107476	0.97425
ENSG00000003393	Expression	-0.0124063287209618	0.98149
ENSG00000003393	ENST00000264276	1.01846407015477	0.97893
ENSG00000003393	ENST00000467448	0.916716445005527	0.91269
ENSG00000003402	Expression	1.20176900481053	0
ENSG00000003402	ENST00000309955	0.667537864455861	0.15412
ENSG00000003402	ENST00000341222	0.177425636357308	0
ENSG00000003402	ENST00000341582	0.713260848962725	0.26835
ENSG00000003402	ENST00000342795	0.72438559075481	0.29134
ENSG00000003402	ENST00000395148	1.77596010144789	0.01879
ENSG00000003402	ENST00000423241	0.926840595572506	0.64815
ENSG00000003402	ENST00000440180	3.00246364470476	0
ENSG00000003402	ENST00000457277	0.392381964894882	0.00691
ENSG00000003402	ENST00000479953	0.237541888355318	6e-05
ENSG00000003509	Expression	-0.0182743736452214	0.97341
ENSG00000003509	ENST00000002125	1.02322039905009	0.96767
ENSG00000003509	ENST00000474154	0.96292866612277	0.95976
ENSG00000003756	Expression	-0.0315790052412893	0.95641
ENSG00000003756	ENST00000347869	1.03336743613617	0.9502
ENSG00000003756	ENST00000464087	0.892406225594114	0.81664
ENSG00000003756	ENST00000469838	0.912927648875991	0.87516
ENSG00000003756	ENST00000475128	0.876237995312675	0.768
ENSG00000004059	Expression	-0.00638675347196942	0.98618
ENSG00000004059	ENST00000000233	1.01054147202437	0.98662
ENSG00000004059	ENST00000463733	0.85922546390636	0.76845
ENSG00000004455	Expression	-0.00668108446191148	0.98811
ENSG00000004455	ENST00000354858	1.01076793833679	0.9455
ENSG00000004455	ENST00000373449	0.995910763021351	0.96606
ENSG00000004455	ENST00000548033	1.03023781154822	0.9242
ENSG00000004455	ENST00000550338	0.948658281326921	0.90277
ENSG00000004487	Expression	-0.0547605166925606	0.9318
ENSG00000004487	ENST00000356634	1.0120653400297	0.97895
ENSG00000004487	ENST00000602503	0.90373051480806	0.88701
ENSG00000004700	Expression	-0.00442426009098275	0.98783
ENSG00000004700	ENST00000421138	0.946981935334956	0.96598
ENSG00000004700	ENST00000444129	1.05377590852812	0.96535
ENSG00000004866	Expression	-0.00661196544743251	0.98613
ENSG00000004866	ENST00000265437	1.00145143529969	0.97837
ENSG00000004866	ENST00000393451	0.999328739179118	0.97841
ENSG00000004897	Expression	0.00887523007071443	0.98598
