Gene	Isoform	ExplogFC/FC	P
ENSG00000000003	Expression	-0.00399784620350928	0.98923
ENSG00000000003	ENST00000373020	1.00236103809118	0.99473
ENSG00000000003	ENST00000496771	0.926578873189628	0.93428
ENSG00000000003	ENST00000612152	0.960232501770415	0.97845
ENSG00000000457	Expression	0.000761911405062053	0.99014
ENSG00000000457	ENST00000367771	0.954254840526717	0.96856
ENSG00000000457	ENST00000367772	1.05184009894151	0.9438
ENSG00000000457	ENST00000423670	1.04588108973472	0.93176
ENSG00000000457	ENST00000470238	1.01084857970068	0.95846
ENSG00000000460	Expression	0.00584168194211192	0.98875
ENSG00000000460	ENST00000413811	1.01306049216843	0.94983
ENSG00000000460	ENST00000459772	0.938776202498073	0.92293
ENSG00000000460	ENST00000496973	1.00740549012652	0.94439
ENSG00000000460	ENST00000498289	1.2150694434881	0.45378
ENSG00000000938	Expression	0.0169874647144568	0.97944
ENSG00000000938	ENST00000374005	0.976631633502876	0.98112
ENSG00000000938	ENST00000475472	1.07283283076572	0.93735
ENSG00000000971	Expression	-0.00483781877412722	0.99007
ENSG00000000971	ENST00000367429	0.989639173363091	0.99594
ENSG00000000971	ENST00000466229	0.989015585296604	0.98371
ENSG00000000971	ENST00000470918	0.985608439690459	0.95799
ENSG00000000971	ENST00000496761	1.00273363284783	0.94849
ENSG00000000971	ENST00000630130	1.09608817091633	0.88388
ENSG00000001036	Expression	-0.00462641061689186	0.98833
ENSG00000001036	ENST00000002165	0.999573360919451	0.98849
ENSG00000001036	ENST00000451668	1.07776570848996	0.93781
ENSG00000001084	Expression	-0.0248512439349456	0.97184
ENSG00000001084	ENST00000229416	1.0411241969788	0.98037
ENSG00000001084	ENST00000504353	0.898813504675313	0.86108
ENSG00000001084	ENST00000505294	0.774512379483646	0.37357
ENSG00000001084	ENST00000509541	0.819555140300802	0.58042
ENSG00000001084	ENST00000510837	0.879086990174342	0.80132
ENSG00000001084	ENST00000513939	0.951856700639321	0.93296
ENSG00000001084	ENST00000514004	0.867754440712473	0.77408
ENSG00000001084	ENST00000514933	0.880091612125416	0.81575
ENSG00000001084	ENST00000515580	0.881922388478762	0.8035
ENSG00000001167	Expression	0.00588307472349466	0.98891
ENSG00000001167	ENST00000341376	0.999661620073371	0.99435
ENSG00000001167	ENST00000353205	1.00183523967255	0.99441
ENSG00000001460	Expression	-0.00518504913616	0.98866
ENSG00000001460	ENST00000337248	1.03996115922834	0.9546
ENSG00000001460	ENST00000435187	0.932693217469973	0.91407
ENSG00000001460	ENST00000468303	0.901928762266544	0.86675
ENSG00000001460	ENST00000483528	0.99994346142842	0.95528
ENSG00000001461	Expression	-0.00975949741498813	0.98617
ENSG00000001461	ENST00000003912	1.00646261717476	0.98672
ENSG00000001461	ENST00000339255	1.01743090224678	0.96531
ENSG00000001461	ENST00000358028	0.886245476484351	0.80456
ENSG00000001461	ENST00000374399	0.9301423000734	0.92087
ENSG00000001461	ENST00000432012	0.966175067472559	0.94627
ENSG00000001461	ENST00000488155	0.930859367376046	0.90298
ENSG00000001497	Expression	-0.00799336861271773	0.98678
ENSG00000001497	ENST00000374807	1.00723979220722	0.99382
ENSG00000001497	ENST00000484069	0.967340023974853	0.98857
ENSG00000001617	Expression	0.0122189738368854	0.98502
ENSG00000001617	ENST00000002829	0.927051120761757	0.9361
ENSG00000001617	ENST00000413852	1.07482937143071	0.9017
ENSG00000001617	ENST00000426511	1.11917351577647	0.76503
ENSG00000001617	ENST00000450338	1.12231241236683	0.76807
ENSG00000001617	ENST00000470737	1.04674663101247	0.90275
ENSG00000001626	Expression	-0.00132972295678804	0.98939
ENSG00000001626	ENST00000003084	0.999601519865637	0.99001
ENSG00000001626	ENST00000446805	1.02676670718865	0.9858
ENSG00000001629	Expression	-0.00385482057793668	0.98947
ENSG00000001629	ENST00000265742	1.00573192584421	0.98958
ENSG00000001629	ENST00000439883	0.917175815259189	0.90139
ENSG00000001629	ENST00000442183	0.937615629822837	0.94025
ENSG00000001629	ENST00000465883	0.908279177654625	0.87672
ENSG00000001630	Expression	0.00157641051615005	0.98913
ENSG00000001630	ENST00000003100	0.9990983206377	0.99838
ENSG00000001630	ENST00000450723	1.00442837737408	0.9984
ENSG00000001631	Expression	0.000530956690536036	0.98943
ENSG00000001631	ENST00000394503	1.03706730788734	0.92624
ENSG00000001631	ENST00000394505	0.975178675315481	0.96642
ENSG00000001631	ENST00000444960	0.909182307043795	0.85423
ENSG00000001631	ENST00000470309	1.00985866411507	0.93539
ENSG00000001631	ENST00000475770	1.05515150964796	0.91226
ENSG00000001631	ENST00000486261	0.988157850779946	0.95058
ENSG00000002016	Expression	0.0040831418530272	0.98898
ENSG00000002016	ENST00000358495	0.997029376349889	0.97345
