cohort	srp	srr	category	status	isPaired	BioSample
38	SRP227272	SRR10357366	mock	control	PAIRED	SAMN13149386
38	SRP227272	SRR10357368	mock	control	PAIRED	SAMN13149384
38	SRP227272	SRR10357369	MERS	case	PAIRED	SAMN13149383
38	SRP227272	SRR10357370	MERS	case	PAIRED	SAMN13149382
38	SRP227272	SRR10357371	MERS	case	PAIRED	SAMN13149381
38	SRP227272	SRR10357372	MERS	case	PAIRED	SAMN13149380
38	SRP227272	SRR10357373	MERS	case	PAIRED	SAMN13149379
38	SRP227272	SRR10357374	MERS	case	PAIRED	SAMN13149378
38	SRP227272	SRR10357375	mock	control	PAIRED	SAMN13149377
38	SRP227272	SRR10357376	mock	control	PAIRED	SAMN13149376
38	SRP227272	SRR10357377	mock	control	PAIRED	SAMN13149375
38	SRP227272	SRR10357367	mock	control	PAIRED	SAMN13149385
